Name,Energy Usage,Waste Generated,Business Travel
Company 1,1024699.9871999999,49929.88,44083.78333333334
Levi's GmBh,250901.99999999997,6532.799999999999,7700.000000000001
Levi's GmBh,26792.039999999997,4151.959999999999,3599.9999999999995
Mercedes Group,44620.932,5289.099999999999,5200.523560209424
SSP,3369.24,3248.2,1519.7368421052633
Ricardo,6549.179999999999,3215.9999999999995,1723.8805970149253
The Jean Company,36207.42,3817.8999999999996,952.577319587629
Adidas,8391.0,3738.9999999999995,5775.0
Adidas,8396.4,3738.9999999999995,5775.0
Adidas,13964.399999999998,3738.9999999999995,5775.0
Adidas,13964.399999999998,3738.9999999999995,5775.0
Adidas,16748.4,3738.9999999999995,5775.0
Adidas,27916.199999999997,3738.9999999999995,5775.0
Adidas,27922.199999999997,3738.9999999999995,5775.0
Adidas,27922.199999999997,4765.0,5775.0
Adidas,27922.199999999997,4765.0,17325.0
Adidas,27922.199999999997,660.9999999999999,17325.0
Adidas,27922.199999999997,6816.999999999999,17325.0
Adidas,27922.199999999997,6152.999999999999,17325.0
Adidas,27934.199999999997,6152.999999999999,17325.0
Levi's,25159.8,3072.9999999999995,192.5
